Team,Result,Location,Week,Pass Yds,Opp Pass Yds,Rush Yds,Opp Rush Yds,Points per game,Opp Points per game,Sacks,Opp Sacks,Cmp,Opp Cmp,Plays,Opp Plays,3DConv,3DConv Allowed,Yards per Play,Opp Yards per Play,Temperature,Weather,Team2
crd,L,,11.0,223.0,245.36363636363637,108.9090909090909,114.9090909090909,21.818181818181817,21.818181818181817,2.727272727272727,1.7272727272727273,67.31818181818181,68.71818181818183,69.0,62.45454545454545,0.3600974782792964,0.4455120636938818,4.809090909090909,5.774545454545454,60 °F,Overcast,sfo
crd,L,,12.0,219.83333333333337,245.41666666666663,114.91666666666669,110.75,22.0,22.0,2.5833333333333335,1.9166666666666667,66.88333333333334,69.2,68.58333333333333,62.583333333333336,0.37496114996115,0.4468475968475968,4.884999999999999,5.698333333333334,65 °F,Clear,sdg
crd,L,,14.0,203.42857142857144,226.42857142857144,106.57142857142856,102.28571428571428,19.785714285714285,19.785714285714285,2.642857142857143,1.7142857142857142,62.207142857142856,64.21428571428572,63.714285714285715,57.714285714285715,0.3418034346605775,0.4024927453498881,4.5214285714285705,5.295000000000001,55 °F,Mostly Cloudy,nwe
crd,L,@,15.0,201.0,221.73333333333332,104.33333333333331,106.66666666666669,19.466666666666665,19.466666666666665,2.6666666666666665,2.066666666666667,61.766666666666666,65.32000000000001,63.4,58.333333333333336,0.3301276501276501,0.3999023199023198,4.4913333333333325,5.264666666666668,37 °F,Foggy,den
crd,L,,16.0,201.1875,225.4375,105.375,107.1875,19.25,19.25,2.5625,1.9375,61.3,65.40625,64.0625,59.5625,0.3259420404157246,0.3969672484378366,4.484999999999999,5.253125000000001,70 °F,Clear,tam
crd,L,@,17.0,201.8823529411765,221.94117647058823,106.58823529411764,108.6470588235294,19.235294117647054,19.235294117647054,2.5294117647058822,1.8823529411764703,61.2235294117647,65.85882352941177,64.3529411764706,59.64705882352941,0.3281593535463504,0.4003542017382847,4.509999999999999,5.2317647058823535,60 °F,Mostly Cloudy,atl
crd,L,@,18.0,201.44444444444449,217.5,104.05555555555556,112.0,18.88888888888889,18.88888888888889,2.5555555555555554,2.0,61.93888888888888,66.36666666666666,63.55555555555556,59.72222222222222,0.3321505005715532,0.4037533272827389,4.5427777777777765,5.224444444444445,61 °F,Mostly Cloudy,sfo
atl,L,,1.0,215.0,234.0,201.0,151.0,26.0,26.0,0.0,4.0,60.6,67.6,71.0,57.0,0.3846153846153846,0.3076923076923077,5.86,6.75,78 °F,Mostly Cloudy,nor
atl,L,@,2.0,193.0,253.0,145.5,108.0,26.5,26.5,1.5,2.5,63.0,71.3,63.5,60.0,0.3423076923076923,0.4538461538461538,5.26,6.05,74 °F,Mostly Cloudy,ram
atl,W,@,3.0,197.66666666666663,271.3333333333333,156.66666666666666,109.33333333333331,26.666666666666668,26.666666666666668,2.0,2.3333333333333335,63.666666666666664,71.76666666666667,60.333333333333336,63.0,0.4186813186813187,0.4790346907993967,5.890000000000001,6.063333333333333,72 °F,Clear,sea
atl,W,,4.0,181.0,260.0,168.0,126.25,25.75,25.75,1.75,2.0,56.95,68.825,59.0,65.0,0.3973443223443223,0.4485617323852618,5.930000000000001,5.967499999999999,69 °F,Clear,cle
atl,L,@,5.0,166.8,278.2,164.6,114.8,23.6,23.6,2.4,1.6,56.760000000000005,68.52000000000001,59.4,67.0,0.4035897435897436,0.4713493859082094,5.6000000000000005,5.894,84 °F,Partly Cloudy,tam
atl,W,,6.0,159.16666666666666,281.1666666666667,165.16666666666666,104.0,24.333333333333332,24.333333333333332,2.3333333333333335,1.3333333333333333,62.78333333333334,68.88333333333334,58.833333333333336,65.33333333333333,0.4434676434676434,0.4552911549235078,5.526666666666667,5.923333333333333,78 °F,Clear,sfo
atl,L,@,7.0,151.71428571428572,306.57142857142856,156.85714285714286,100.28571428571428,23.285714285714285,23.285714285714285,2.4285714285714284,1.5714285714285714,62.60000000000001,70.61428571428571,56.857142857142854,65.42857142857143,0.4372579801151229,0.4811586522720976,5.417142857142857,6.24,73 °F,Clear,cin
atl,W,,8.0,162.625,306.875,158.125,108.875,25.0,25.0,2.375,1.5,63.7,68.3875,58.125,66.375,0.4451007326007326,0.4690907438150085,5.4975000000000005,6.27875,58 °F,Overcast,car
atl,L,,9.0,157.22222222222223,300.0,162.88888888888889,106.88888888888889,24.11111111111111,24.11111111111111,2.3333333333333335,1.3333333333333333,62.42222222222223,68.54444444444444,58.333333333333336,66.44444444444444,0.4461501461501461,0.4725251056133409,5.470000000000001,6.137777777777777,79 °F,Mostly Cloudy,sdg
atl,L,@,10.0,156.8,280.1,160.4,119.4,23.2,23.2,2.6,1.3,62.510000000000005,67.94,58.5,66.2,0.4288078588078587,0.4652725950520068,5.408,6.044,60 °F,Light Rain,car
atl,W,,11.0,154.45454545454547,266.27272727272725,159.36363636363637,123.0909090909091,23.545454545454547,23.545454545454547,2.363636363636364,1.5454545454545454,62.73636363636364,67.82727272727273,58.0,66.18181818181819,0.4100273463909827,0.4741114500472789,5.396363636363637,5.890909090909091,41 °F,Overcast,chi
atl,L,@,12.0,155.33333333333334,255.58333333333337,160.0,127.5,22.666666666666668,22.666666666666668,2.25,1.4166666666666667,62.50833333333333,67.25,57.75,65.66666666666667,0.4091917341917341,0.4693243847655612,5.45,5.835833333333333,48 °F,Rain,was
atl,L,,13.0,155.69230769230768,251.07692307692307,158.92307692307693,129.53846153846155,22.153846153846153,22.153846153846153,2.1538461538461537,1.3076923076923077,61.869230769230775,66.46923076923078,57.38461538461539,65.61538461538461,0.4007923700231392,0.4716840474759027,5.474615384615385,5.802307692307693,56 °F,Mostly Cloudy,pit
atl,L,@,15.0,140.86666666666667,231.86666666666667,153.13333333333333,121.2,20.4,20.4,2.1333333333333333,1.2666666666666666,56.95333333333334,62.166666666666664,54.333333333333336,60.53333333333333,0.3848533873533873,0.4390958714488126,5.054,5.450666666666667,49 °F,Clear,nor
atl,L,@,16.0,145.3125,224.5625,150.75,125.125,19.6875,19.6875,2.125,1.1875,57.56250000000001,61.5875,55.1875,59.9375,0.3831214792152291,0.4324857128165951,5.03875,5.47625,16 °F,Partly Cloudy,rav
atl,W,,17.0,146.52941176470588,223.8823529411765,149.64705882352942,125.17647058823528,19.705882352941178,19.705882352941178,2.0588235294117645,1.2352941176470589,58.4764705882353,61.49411764705883,55.52941176470589,60.47058823529411,0.3873228895287718,0.4284357511001109,5.03,5.442941176470589,60 °F,Mostly Cloudy,crd
atl,W,,18.0,149.94444444444446,219.0,151.0,123.0,20.27777777777778,20.27777777777778,2.0555555555555554,1.1666666666666667,58.74444444444445,61.67222222222223,56.166666666666664,60.111111111111114,0.3880271734438401,0.4302747905689081,5.067222222222223,5.368888888888889,57 °F,Overcast,tam
