Team,Result,Location,Week,Pass Yds,Opp Pass Yds,Rush Yds,Opp Rush Yds,Points per game,Opp Points per game,Sacks,Opp Sacks,Cmp,Opp Cmp,Plays,Opp Plays,3DConv,3DConv Allowed,Yards per Play,Opp Yards per Play,Temperature,Weather,Team1,Team2
crd,L,@,1.0,114.0,156.0,96.0,92.0,16.0,16.0,3.0,6.0,70.0,61.3,58.0,65.0,0.2857142857142857,0.3333333333333333,3.62,3.82,75 °F,Overcast,crd,was
crd,L,,2.0,171.0,234.0,123.5,109.5,22.0,22.0,1.5,4.5,68.85,65.8,59.0,66.0,0.34285714285714286,0.45833333333333337,4.970000000000001,5.185,93 °F,Clear,crd,nyg
crd,W,,3.0,173.33333333333334,233.0,156.33333333333334,134.66666666666666,24.0,24.0,1.6666666666666667,3.6666666666666665,72.89999999999999,64.7,57.0,69.0,0.3952380952380952,0.4930555555555556,5.830000000000001,5.306666666666666,93 °F,Clear,crd,dal
crd,L,@,4.0,194.25,242.5,143.5,132.0,22.0,22.0,1.5,3.0,71.75,72.325,59.5,65.0,0.4297619047619048,0.5197916666666667,5.7225,5.842499999999999,76 °F,Clear,crd,sfo
crd,L,,5.0,185.8,251.4,143.2,124.2,21.6,21.6,1.8,3.0,66.78,73.52000000000001,59.0,67.8,0.4165367965367966,0.4872619047619048,5.61,5.635999999999999,97 °F,Partly Cloudy,crd,cin
crd,L,@,6.0,190.66666666666666,243.33333333333334,141.0,133.33333333333334,19.5,19.5,1.8333333333333333,3.0,64.18333333333332,71.68333333333334,61.333333333333336,65.66666666666667,0.40961399711399715,0.4616071428571429,5.463333333333334,5.8549999999999995,81 °F,Clear,crd,ram
crd,L,@,7.0,180.85714285714286,237.57142857142858,139.0,130.71428571428572,18.142857142857142,18.142857142857142,2.142857142857143,2.857142857142857,63.41428571428571,72.15714285714286,61.57142857142857,64.57142857142857,0.3987167594310452,0.4725863422291994,5.247142857142857,5.801428571428572,55 °F,Overcast,crd,sea
crd,L,,8.0,180.875,225.125,137.75,130.625,18.875,18.875,2.125,3.0,63.9375,71.47500000000001,62.75,64.0,0.40096049783549786,0.4589675949050949,5.1375,5.635,75 °F,Clear,crd,rav
crd,L,@,9.0,162.66666666666666,223.77777777777777,127.0,128.66666666666666,16.77777777777778,16.77777777777778,2.6666666666666665,2.7777777777777777,62.94444444444444,70.56666666666666,61.111111111111114,64.77777777777777,0.3656685906685907,0.4471868817457053,4.7011111111111115,5.518888888888889,56 °F,Clear,crd,cle
crd,W,,10.0,169.4,208.4,126.5,134.2,17.6,17.6,2.6,2.8,62.589999999999996,69.22,61.0,64.8,0.3563744588744589,0.45246819357113477,4.818,5.358,81 °F,Clear,crd,atl
crd,L,@,11.0,171.8181818181818,217.45454545454547,126.18181818181819,132.0909090909091,17.454545454545453,17.454545454545453,2.6363636363636362,2.909090909090909,62.96363636363637,69.62727272727274,60.72727272727273,65.0,0.3512495080676899,0.47427178436536727,4.88,5.4390909090909085,72 °F,Mostly Cloudy,crd,htx
crd,L,,12.0,175.75,218.41666666666666,121.75,140.08333333333334,17.166666666666668,17.166666666666668,2.75,2.6666666666666665,62.71666666666667,70.14166666666667,61.0,65.08333333333333,0.35139048043459803,0.47641580233492004,4.8533333333333335,5.5625,68 °F,Partly Cloudy,crd,ram
crd,W,@,13.0,172.3846153846154,216.0,123.92307692307692,139.30769230769232,17.692307692307693,17.692307692307693,2.6923076923076925,2.4615384615384617,62.23846153846154,69.87692307692308,61.15384615384615,64.53846153846153,0.369609312256371,0.4677404608965695,4.8246153846153845,5.555384615384615,58 °F,Mostly Cloudy,crd,pit
crd,L,,15.0,162.86666666666667,204.66666666666666,123.0,130.33333333333334,17.266666666666666,17.266666666666666,2.533333333333333,2.1333333333333333,58.38666666666667,64.84666666666666,57.8,59.53333333333333,0.3494947372888549,0.4434703042055983,4.585333333333334,5.316,75 °F,Clear,crd,sfo
crd,L,@,16.0,166.0,202.5,121.125,137.8125,17.1875,17.1875,2.5,2.0625,58.68750000000001,64.26875,57.9375,60.0,0.35499506620830146,0.44908674352608174,4.6175,5.375624999999999,56 °F,Mostly Cloudy,crd,chi
crd,W,@,17.0,169.64705882352942,201.41176470588235,127.0,135.05882352941177,18.235294117647058,18.235294117647058,2.411764705882353,1.9411764705882353,59.9764705882353,65.1470588235294,58.76470588235294,59.23529411764706,0.36352476819604845,0.44881366710951487,4.712941176470587,5.403529411764705,48 °F,Partly Cloudy,crd,phi
