Team,Result,Location,Week,Pass Yds,Opp Pass Yds,Rush Yds,Opp Rush Yds,Points per game,Opp Points per game,Sacks,Opp Sacks,Cmp,Opp Cmp,Plays,Opp Plays,3DConv,3DConv Allowed,Yards per Play,Opp Yards per Play,Temperature,Weather,Team2
crd,L,,1.0,145.0,247.0,68.0,182.0,6.0,6.0,2.0,3.0,58.8,70.0,51.0,75.0,0.125,0.4615384615384615,4.18,5.72,100 °F,Clear,was
crd,L,@,2.0,114.0,294.5,61.0,136.0,3.0,3.0,1.5,2.5,60.9,72.5,47.0,71.0,0.1875,0.4974358974358974,3.685,6.085,85 °F,Clear,ram
crd,L,,3.0,132.0,261.0,58.333333333333336,131.33333333333334,6.666666666666667,6.666666666666667,2.3333333333333335,2.6666666666666665,62.4,71.2,47.333333333333336,70.33333333333333,0.225,0.4506715506715507,3.99,5.583333333333333,100 °F,Clear,chi
crd,L,,4.0,141.75,235.75,66.75,141.25,9.25,9.25,2.0,2.5,60.7,71.675,49.5,68.25,0.2729166666666667,0.338003663003663,4.1674999999999995,5.5225,94 °F,Partly Cloudy,sea
crd,W,@,5.0,146.2,248.6,64.6,142.4,13.0,13.0,1.8,2.8,56.55999999999999,69.94,49.4,73.0,0.2516666666666667,0.3880499892264598,4.231999999999999,5.39,76 °F,Clear,sfo
crd,L,@,6.0,156.5,243.16666666666663,63.833333333333336,151.16666666666666,13.666666666666666,13.666666666666666,2.1666666666666665,3.0,58.41666666666666,70.05,50.333333333333336,72.5,0.2097222222222222,0.3828988005458594,4.338333333333333,5.47,33 °F,Light Snow,min
crd,L,,7.0,156.14285714285714,233.8571428571429,64.57142857142857,148.28571428571428,13.142857142857142,13.142857142857142,2.7142857142857144,2.857142857142857,57.75714285714285,69.78571428571428,52.57142857142857,70.0,0.220578231292517,0.3831440268415059,4.201428571428571,5.491428571428571,79 °F,Clear,den
crd,W,,8.0,165.75,224.625,67.5,143.125,13.75,13.75,2.75,3.0,57.724999999999994,67.3125,54.0,69.125,0.246577380952381,0.3798938806291748,4.303749999999999,5.335,86 °F,Clear,sfo
crd,L,@,10.0,149.2,200.9,63.4,126.3,12.4,12.4,2.7,2.9,51.81999999999999,61.35,50.1,60.9,0.2472619047619048,0.3402787408669762,3.8199999999999994,4.857,42 °F,Clear,kan
crd,L,,11.0,147.27272727272728,198.36363636363637,71.63636363636364,128.63636363636363,13.181818181818182,13.181818181818182,2.5454545454545454,3.0,51.2,61.345454545454544,50.27272727272727,61.54545454545455,0.2495769382133018,0.3396473401820996,3.965454545454546,4.8500000000000005,69 °F,Clear,rai
crd,L,@,12.0,142.25,201.5,70.83333333333333,132.75,12.916666666666666,12.916666666666666,2.5,3.0833333333333335,52.2,63.525,49.833333333333336,61.916666666666664,0.2565566378066378,0.3470576808812103,3.910833333333333,4.968333333333334,72 °F,Clear,sdg
crd,W,@,13.0,141.53846153846155,203.46153846153845,79.38461538461539,130.07692307692307,13.461538461538462,13.461538461538462,2.4615384615384617,2.923076923076923,51.43846153846153,63.4076923076923,50.38461538461539,62.84615384615385,0.2664073106380799,0.3368444526815567,4.035384615384616,4.923846153846155,34 °F,Light Rain,gnb
crd,L,,14.0,147.0,195.78571428571428,78.07142857142857,129.5,12.714285714285714,12.714285714285714,2.5,2.7857142857142856,52.29285714285714,63.535714285714285,51.42857142857143,62.285714285714285,0.2741639313067884,0.3365936584423979,4.053571428571429,4.8549999999999995,67 °F,Clear,det
crd,L,@,15.0,150.06666666666666,197.4,76.86666666666666,135.2,12.8,12.8,2.8,2.7333333333333334,53.066666666666656,63.373333333333335,52.333333333333336,62.46666666666667,0.2712709512709513,0.3397951068539304,4.042666666666666,4.977333333333333,51 °F,Overcast,atl
